Conta Corrente
Poupança
Carteira
Supermercado
Aluguel
Restaurante
Empréstimo Pessoal
Conta de Luz
Conta de Água
Internet
Poupança mensal
Academia
Salário
Transporte
Telefone
Saúde
Viajens
Festa
Alimentação
Beleza
Assinaturas
Extras
Bolsa Estudantil
Emprestimos
Extra
Investimentos
